24-12-30 11:57:01.583 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   pixel_f1 |
|:-----------|--------------:|--------------:|-----------:|
| candle     |          98.8 |          95.7 |       32.6 |
| capsules   |          93.1 |          83.7 |       17.8 |
| cashew     |          81.6 |          91.6 |       14.5 |
| chewinggum |          99.1 |          87.4 |       63.2 |
| fryum      |          92.1 |          82.7 |       23.1 |
| macaroni1  |          98.3 |          87.6 |       17.5 |
| macaroni2  |          96.7 |          76.7 |        4.9 |
| pcb1       |          94.2 |          79.1 |       14.2 |
| pcb2       |          92.6 |          79.4 |       17   |
| pcb3       |          88.7 |          66.6 |        8.9 |
| pcb4       |          94.8 |          83.2 |       27.3 |
| pipe_fryum |          96   |          90.9 |       24.6 |
| mean       |          93.8 |          83.7 |       22.1 |
