24-12-30 14:12:18.385 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   pixel_f1 |
|:-----------|--------------:|--------------:|-----------:|
| carpet     |          98.8 |          97   |       56.7 |
| bottle     |          90.1 |          81.3 |       51   |
| hazelnut   |          96.4 |          89.8 |       42   |
| leather    |          98.9 |          98   |       38.6 |
| cable      |          71.1 |          61.7 |       17.5 |
| capsule    |          93.3 |          90.5 |       32.5 |
| grid       |          97.7 |          90.1 |       34.2 |
| pill       |          91.2 |          93.4 |       35.8 |
| transistor |          69   |          58.5 |       17.1 |
| metal_nut  |          88.1 |          84.1 |       48.1 |
| screw      |          97.9 |          91.6 |       28.8 |
| toothbrush |          94.5 |          89   |       30.5 |
| zipper     |          94.2 |          83.1 |       39.1 |
| tile       |          91.5 |          83.9 |       57.7 |
| wood       |          97.2 |          93.7 |       58.5 |
| mean       |          91.3 |          85.7 |       39.2 |
